Property_ID,Listing_Date,Address,City,State,Postal_Code,Property_Type,Bedrooms,Bathrooms,Square_Feet,Lot_Size_Acres,Year_Built,Listing_Price,Sale_Price,Sale_Date,Agent_Name,Agent_Contact,Days_on_Market,Has_Garage,Pool
PROP1000,2024-12-04,"089 Silva Lane Suite 467, East April, TN 00758",West Evelynmouth,KY,87390,Cottage,2,2,4597,3.48,2015,1944670,1966544,2025-03-27,Kyle Smith,001-833-952-3452x93869,296,False,False
PROP1001,2024-01-12,"544 Erin Lakes Apt. 062, Port Travis, ME 63461",Ruthstad,SC,09337,Cottage,5,1,2570,2.17,1982,371838,368384,2025-02-16,John Garcia,(528)482-1641x3274,257,True,False
PROP1002,2025-03-25,"05046 Kelly Springs, Natalieland, CO 48573",Lake Garrett,GU,35871,Cottage,4,3,3706,3.04,2002,796459,779919,2025-04-26,Kimberly Elliott,9146679529,289,False,False
PROP1003,2024-05-26,"715 Johnson Ville Apt. 837, West Joseph, NM 20533",Stephaniemouth,AK,78134,House,1,1,4395,3.16,1972,1895922,1908064,2025-02-10,Richard Russell,7352965040,335,True,False
PROP1004,2025-05-23,"237 Benjamin Vista Suite 097, West Tammy, NC 21372",Danielhaven,ID,88506,Villa,3,2,4804,2.75,1957,358376,352837,2025-05-21,Matthew Palmer,363-968-5789x085,94,False,True
PROP1005,2025-06-30,"Unit 5107 Box 7624, DPO AE 89069",West Jeremy,ID,72700,Cottage,1,2,2046,2.64,2015,1276223,1277916,2025-03-29,Mario Rodriguez,241-341-3693x61563,327,False,True
PROP1006,2024-06-24,"2534 Michelle Wall Apt. 755, Thomaschester, OH 15325",Lake Garyshire,NE,60404,Cottage,5,2,4723,0.18,1977,720177,716188,2025-02-23,Lisa Dillon,001-925-448-8744x74417,109,True,True
PROP1007,2023-09-26,"58798 Delgado Islands Suite 280, Josephfort, DE 82662",South Christinamouth,MD,97529,House,1,3,4307,2.63,1959,1228578,1182257,2025-01-30,Matthew Flynn,353-367-1836x90057,196,False,True
PROP1008,2025-01-05,"Unit 0514 Box 0087, DPO AP 85536",New Melvin,MT,39136,Villa,3,1,2454,2.21,2014,1527137,1583041,2025-07-24,Krystal Oconnor,410.396.9913x29289,133,True,False
PROP1009,2024-10-11,"8140 Joshua Circle, Lake Williamstad, NE 66622",New Kyle,TX,13069,Cottage,2,2,4248,0.9,1969,1785051,1720554,2025-06-29,Danny Robbins,964.778.6925x0037,123,True,True
PROP1010,2025-04-23,"300 Justin Groves, Port Christina, MT 03591",Lake Zacharyshire,HI,98521,Villa,5,2,3346,2.04,1952,1782600,1732916,2024-12-16,Shannon Morales,543.224.0632x20939,287,True,False
PROP1011,2025-02-13,"690 Alvarez Summit, Michaelmouth, CT 66993",Royville,GA,39353,Apartment,3,1,2355,2.61,2007,1314290,1302700,2025-03-07,Christopher Sparks,+1-278-333-8208x685,5,False,True
PROP1012,2024-07-13,"0088 Kristen Inlet, Port Caitlin, OK 73791",New Tracyberg,SD,66970,Cottage,3,3,2510,0.36,2017,1551306,1514315,2024-12-18,Susan Murray,345.729.4047x835,349,True,False
PROP1013,2024-06-01,"602 Paul Crossing, Port Becky, RI 72105",Transide,OH,47913,Apartment,3,1,4493,0.77,1955,1589633,1666644,2024-12-27,Rachel Jacobs,777-253-8175x98601,162,False,True
PROP1014,2024-06-25,"863 Harvey Dam Suite 954, Curtisville, MA 20819",Nicoleberg,ME,09744,Apartment,4,3,1738,3.24,1995,1016780,1028531,2025-03-19,Andrew Green,(803)636-5934,155,True,True
PROP1015,2025-06-02,"41911 Montoya Loop Suite 329, Marcoburgh, RI 19488",West Hailey,NY,11068,Apartment,3,1,2126,2.74,2018,1148146,1186229,2025-03-17,Travis Ross,355-876-5692,136,False,False
PROP1016,2025-02-23,"74991 Rodriguez Keys Suite 788, New Joshuafort, IA 25667",New Luis,MN,87537,House,1,3,1999,3.06,2016,1446858,1482247,2024-08-20,Lee Martinez,838-643-3955,155,True,True
PROP1017,2023-08-13,"7521 Marissa Mountain Suite 387, East Dustin, NE 98378",East Vickiland,VA,34978,House,1,2,2939,1.27,2019,826572,831568,2024-08-24,Melissa Roberson,+1-749-540-2574,281,True,True
PROP1018,2024-06-20,"106 Jordan Court Apt. 543, South Raymondbury, MA 43042",North Valerie,PA,69046,Condo,1,3,3311,0.94,1975,431351,414682,2025-06-15,Brian Rodriguez,001-561-768-6772x640,284,True,False
PROP1019,2024-07-20,"976 Joseph Village, West Alexandraton, IN 56615",Matthewchester,ND,80260,Villa,3,1,545,1.08,1956,612360,584581,2025-03-08,Jenny Cunningham,(581)515-3644x2439,125,False,False
PROP1020,2024-09-29,"870 Stewart Vista Apt. 881, Hayesburgh, FL 93868",South Karen,MS,98816,House,3,1,1794,2.36,1960,1652790,1679327,2025-01-26,Jessica Wolf,(579)597-1214x458,120,False,True
PROP1021,2024-02-14,"1967 Stacy Cape, New Justinport, GA 70650",West Brian,AL,77648,Villa,3,2,3203,0.48,1985,739961,722079,2024-11-09,Matthew Lane PhD,240.374.8428x8146,204,False,False
